บท,คำถาม,ตัวเลือก ก,ข,ค,ง,เฉลย(1-4),คำอธิบาย
c5b12,เบนซีน (C6H6) มีโครงสร้างเป็นอย่างไร?,สายโซ่ตรง,วงหกเหลี่ยมที่มีอิเล็กตรอนเคลื่อนที่ทั่ววง,พีระมิด,โซ่กิ่ง,2,เบนซีนเป็นวงหกเหลี่ยมที่มีอิเล็กตรอนเรโซแนนซ์เคลื่อนที่ทั่ววง เรียกสารอะโรมาติก
c5b12,สารใดเป็นไฮโดรคาร์บอนไม่อิ่มตัว?,อีเทน,โพรเพน,อีทีน,บิวเทน,3,อีทีนมีพันธะคู่ C=C จึงไม่อิ่มตัว ส่วนตัวเลือกอื่นเป็นแอลเคนอิ่มตัว
c5b12,การทดสอบความไม่อิ่มตัวของไฮโดรคาร์บอนนิยมใช้สารใด?,น้ำกลั่น,สารละลายโบรมีน (ฟอกจางสี),น้ำเกลือ,กรดไฮโดรคลอริก,2,ไฮโดรคาร์บอนไม่อิ่มตัวฟอกจางสีสารละลายโบรมีนได้โดยไม่ต้องใช้แสง
c5b12,การเรียกชื่อแอลเคนที่มีคาร์บอน 3 อะตอมคือชื่อใด?,มีเทน,อีเทน,โพรเพน,บิวเทน,3,แอลเคน 3 คาร์บอนคือโพรเพน (C3H8)
c5b12,การเผาไหม้สมบูรณ์ของไฮโดรคาร์บอนให้ผลิตภัณฑ์ใด?,คาร์บอนมอนอกไซด์กับน้ำ,คาร์บอนไดออกไซด์กับน้ำ,เขม่าคาร์บอน,ไฮโดรเจน,2,การเผาไหม้สมบูรณ์ให้คาร์บอนไดออกไซด์และน้ำ
c5b12,หมู่แอลคิล (alkyl) เกิดจากการดึงอะตอมใดออกจากแอลเคน?,คาร์บอน 1 อะตอม,ไฮโดรเจน 1 อะตอม,ออกซิเจน 1 อะตอม,ไฮโดรเจน 2 อะตอม,2,หมู่แอลคิลเกิดจากการดึงไฮโดรเจน 1 อะตอมออกจากแอลเคน เช่น เมทิล -CH3
c5b12,เหตุใดสารประกอบคาร์บอนจึงมีจำนวนมากมายหลายล้านชนิด?,คาร์บอนสร้างพันธะกับตัวเองได้หลายแบบและต่อกันเป็นสายยาว,คาร์บอนเป็นโลหะ,คาร์บอนมีมวลมาก,คาร์บอนละลายน้ำได้ดี,1,คาร์บอนสร้างพันธะกับคาร์บอนด้วยกันได้ทั้งโซ่ตรง โซ่กิ่ง และวง จึงเกิดสารได้มากมาย
c5b12,แอลกอฮอล์ที่พบในเครื่องดื่มแอลกอฮอล์คือสารใด?,เมทานอล,เอทานอล,โพรพานอล,กลีเซอรอล,2,เอทานอล (C2H5OH) เป็นแอลกอฮอล์ที่พบในเครื่องดื่ม ส่วนเมทานอลเป็นพิษ
c5b12,กรดแอซีติก (กรดน้ำส้ม) จัดอยู่ในสารประกอบประเภทใด?,แอลกอฮอล์,กรดคาร์บอกซิลิก,เอสเทอร์,คีโตน,2,กรดแอซีติก CH3COOH มีหมู่ -COOH จึงเป็นกรดคาร์บอกซิลิก
c5b12,พันธะระหว่างคาร์บอนในแอลเคนหมุนได้อิสระ ส่วนพันธะคู่ในแอลคีนเป็นอย่างไร?,หมุนได้อิสระเช่นกัน,หมุนไม่ได้ ทำให้เกิดไอโซเมอร์เรขาคณิต,ไม่มีพันธะ,เป็นพันธะไอออนิก,2,พันธะคู่หมุนไม่ได้ จึงเกิดไอโซเมอร์เรขาคณิตแบบซิส-ทรานส์
c5b12,สูตรทั่วไปของแอลคีนที่มีพันธะคู่หนึ่งพันธะคือข้อใด?,CnH2n+2,CnH2n-2,CnHn,CnH2n,4,แอลคีนที่มีพันธะคู่หนึ่งพันธะมีสูตรทั่วไป CnH2n
c5b12,สูตรทั่วไปของแอลไคน์ที่มีพันธะสามหนึ่งพันธะคือข้อใด?,CnH2n+2,CnH2n,CnH2n-2,CnHn,3,แอลไคน์ที่มีพันธะสามหนึ่งพันธะมีสูตรทั่วไป CnH2n-2
c5b12,แอลเคนที่มีคาร์บอน 5 อะตอมเรียกว่าอะไร?,บิวเทน,เพนเทน,เฮกเซน,เฮปเทน,2,แอลเคน 5 คาร์บอนคือเพนเทน (C5H12)
c5b12,การเรียกชื่อ IUPAC ใช้สิ่งใดเป็นโครงสร้างหลักในการกำหนดชื่อ?,สายโซ่คาร์บอนที่ยาวที่สุด,หมู่แอลคิลที่สั้นที่สุด,จำนวนไฮโดรเจน,มวลโมเลกุล,1,การเรียกชื่อ IUPAC เลือกสายโซ่คาร์บอนที่ยาวที่สุดเป็นโครงหลัก แล้วเรียกชื่อตามจำนวนคาร์บอน
c5b12,ในการเรียกชื่อ IUPAC การกำหนดตำแหน่งหมู่แทนที่ต้องให้ตัวเลขเป็นอย่างไร?,มากที่สุด,เลขคู่เสมอ,เลขคี่เสมอ,น้อยที่สุดเท่าที่เป็นไปได้,4,IUPAC กำหนดให้นับตำแหน่งหมู่แทนที่ให้ได้ตัวเลขน้อยที่สุด
c5b12,หมู่แทนที่ที่มีคาร์บอน 2 อะตอม (-C2H5) เรียกว่าหมู่ใด?,เมทิล,โพรพิล,บิวทิล,เอทิล,4,หมู่ -C2H5 เรียกว่าหมู่เอทิล
c5b12,บิวเทน (C4H10) มีไอโซเมอร์โครงสร้างกี่ชนิด?,1,3,4,2,4,บิวเทนมีไอโซเมอร์โครงสร้าง 2 ชนิด คือ นอร์มัลบิวเทน (โซ่ตรง) และไอโซบิวเทน (โซ่กิ่ง)
c5b12,ไอโซเมอร์โครงสร้างต่างกันที่สิ่งใด?,สูตรโมเลกุล,มวลโมเลกุล,จำนวนอะตอมทั้งหมด,การจัดเรียงหรือการต่อกันของอะตอม,4,ไอโซเมอร์โครงสร้างมีสูตรโมเลกุลเหมือนกัน แต่ลำดับการต่อกันของอะตอมต่างกัน
c5b12,แอลกอฮอล์ปฐมภูมิ (primary alcohol) มีหมู่ -OH เกาะกับคาร์บอนที่ต่อกับคาร์บอนอื่นกี่อะตอม?,0 หรือ 1 อะตอม,2 อะตอม,3 อะตอม,4 อะตอม,1,แอลกอฮอล์ปฐมภูมิมีหมู่ -OH เกาะกับคาร์บอนที่ต่อกับคาร์บอนอื่นไม่เกิน 1 อะตอม
c5b12,แอลกอฮอล์ตติยภูมิ (tertiary alcohol) มีลักษณะอย่างไร?,คาร์บอนที่มี -OH ต่อกับคาร์บอนอื่น 3 อะตอม,คาร์บอนที่มี -OH ต่อกับไฮโดรเจน 3 อะตอม,ไม่มีหมู่ -OH,มีหมู่ -COOH,1,แอลกอฮอล์ตติยภูมิมีหมู่ -OH เกาะกับคาร์บอนที่ต่อกับคาร์บอนอื่นถึง 3 อะตอม
c5b12,อีเทอร์มีหมู่ฟังก์ชันลักษณะใด?,-OH,-O- เชื่อมระหว่างคาร์บอนสองหมู่,-COOH,-CHO,2,อีเทอร์มีออกซิเจนเชื่อมระหว่างหมู่คาร์บอนสองหมู่ในรูป R-O-R
c5b12,เมทานอล (CH3OH) เป็นอันตรายต่อร่างกายอย่างไร?,ไม่มีพิษ,เป็นพิษ อาจทำให้ตาบอดหรือเสียชีวิต,เป็นวิตามิน,ใช้ดื่มแทนน้ำได้,2,เมทานอลเป็นพิษ เมื่อเข้าสู่ร่างกายอาจทำให้ตาบอดหรือเสียชีวิต ต่างจากเอทานอล
c5b12,การเผาไหม้ไม่สมบูรณ์ของไฮโดรคาร์บอนมักได้ผลิตภัณฑ์อันตรายชนิดใด?,คาร์บอนไดออกไซด์เท่านั้น,น้ำเท่านั้น,ออกซิเจน,คาร์บอนมอนอกไซด์และเขม่า,4,การเผาไหม้ไม่สมบูรณ์เกิดเมื่อออกซิเจนไม่พอ ได้คาร์บอนมอนอกไซด์ (CO) และเขม่าคาร์บอน
c5b12,ปฏิกิริยาแทนที่ (substitution) มักเกิดกับสารประเภทใด?,แอลคีน,แอลไคน์,แอลเคนและอะโรมาติก,กรด,3,แอลเคนและสารอะโรมาติกที่อิ่มตัวเกิดปฏิกิริยาแทนที่ โดยอะตอมหนึ่งถูกแทนด้วยอะตอมหรือหมู่อื่น
c5b12,ปฏิกิริยาเติม (addition) เกิดได้ดีกับสารประเภทใด?,แอลเคน,แก๊สเฉื่อย,เกลือ,ไฮโดรคาร์บอนไม่อิ่มตัวที่มีพันธะคู่หรือพันธะสาม,4,ปฏิกิริยาเติมเกิดที่พันธะคู่หรือพันธะสาม โดยอะตอมเข้ามาเติมและพันธะลดความไม่อิ่มตัว
c5b12,พันธะในเบนซีนมีลักษณะพิเศษอย่างไร?,เป็นพันธะเดี่ยวล้วน,เป็นพันธะคู่ล้วน,อิเล็กตรอนกระจายตัวเฉลี่ยทั่ววง (เรโซแนนซ์) ทำให้พันธะมีความยาวเท่ากัน,เป็นพันธะไอออนิก,3,เบนซีนมีอิเล็กตรอนเรโซแนนซ์กระจายทั่ววง พันธะระหว่างคาร์บอนทุกตำแหน่งจึงมีความยาวเท่ากัน
c5b12,เหตุใดเบนซีนจึงเสถียรและไม่เกิดปฏิกิริยาเติมง่ายเหมือนแอลคีน?,ไม่มีพันธะคู่,ระบบอิเล็กตรอนเรโซแนนซ์ทำให้โมเลกุลมีเสถียรภาพสูง,เป็นโลหะ,มีมวลมาก,2,ระบบอิเล็กตรอนเรโซแนนซ์ของเบนซีนให้เสถียรภาพสูง จึงนิยมเกิดปฏิกิริยาแทนที่มากกว่าการเติม
c5b12,เมื่อมวลโมเลกุลใกล้เคียงกัน สารใดมีจุดเดือดสูงกว่าระหว่างแอลเคนกับแอลกอฮอล์?,แอลเคนสูงกว่า,เท่ากัน,ไม่มีจุดเดือด,แอลกอฮอล์สูงกว่าเพราะมีพันธะไฮโดรเจน,4,แอลกอฮอล์มีหมู่ -OH สร้างพันธะไฮโดรเจน จึงมีจุดเดือดสูงกว่าแอลเคนที่มวลใกล้เคียงกัน
c5b12,แอลกอฮอล์โมเลกุลเล็ก เช่น เอทานอล ละลายน้ำได้ดีเพราะเหตุใด?,ไม่มีขั้ว,หมู่ -OH สร้างพันธะไฮโดรเจนกับน้ำได้,เป็นไอออน,เป็นโลหะ,2,หมู่ -OH ของแอลกอฮอล์สร้างพันธะไฮโดรเจนกับน้ำ ทำให้แอลกอฮอล์โมเลกุลเล็กละลายน้ำได้ดี
c5b12,เมื่อจำนวนคาร์บอนในแอลเคนเพิ่มขึ้น จุดเดือดมีแนวโน้มอย่างไร?,ลดลง,เพิ่มขึ้น,คงที่,เป็นศูนย์,2,แอลเคนสายยาวขึ้นมีมวลมากและพื้นที่สัมผัสมากขึ้น แรงลอนดอนเพิ่ม จุดเดือดจึงสูงขึ้น
c5b12,หมู่ฟังก์ชันคืออะไร?,อะตอมหรือกลุ่มอะตอมที่กำหนดสมบัติทางเคมีของสารอินทรีย์,จำนวนคาร์บอน,มวลโมเลกุล,ชนิดของพันธะเดี่ยว,1,หมู่ฟังก์ชันคืออะตอมหรือกลุ่มอะตอมที่ทำให้สารแสดงสมบัติทางเคมีเฉพาะตัว
c5b12,ปฏิกิริยาเอสเทอริฟิเคชันมีผลพลอยได้เป็นสารใด?,คาร์บอนไดออกไซด์,น้ำ,ไฮโดรเจน,แอมโมเนีย,2,เอสเทอริฟิเคชันระหว่างกรดกับแอลกอฮอล์ได้เอสเทอร์และน้ำเป็นผลพลอยได้
c5b12,น้ำมันและไขมันส่วนใหญ่จัดเป็นสารอินทรีย์ประเภทใด?,เอสเทอร์ของกลีเซอรอลกับกรดไขมัน,แอลกอฮอล์,กรดคาร์บอกซิลิก,เอมีน,1,น้ำมันและไขมันเป็นเอสเทอร์ของกลีเซอรอลกับกรดไขมัน เรียกว่าไตรกลีเซอไรด์
c5b12,เหตุใดสารอินทรีย์ที่ไม่มีขั้ว เช่น น้ำมัน จึงไม่ละลายน้ำ?,น้ำมันมีขั้วสูง,น้ำมันไม่มีขั้วจึงไม่เข้ากับน้ำที่มีขั้ว,น้ำมันเป็นไอออน,น้ำมันเป็นกรด,2,น้ำมันเป็นสารไม่มีขั้ว ไม่สามารถสร้างแรงดึงดูดกับน้ำที่มีขั้วได้ จึงแยกชั้นไม่ละลาย
c5b12,แอลไคน์ที่เล็กที่สุดคือสารใด?,อีเทน,อีทีน,อีไทน์ (อะเซทิลีน),โพรไพน์,3,อีไทน์ (C2H2) หรืออะเซทิลีนเป็นแอลไคน์ที่เล็กที่สุด ใช้ในการเชื่อมโลหะ
c5b12,การออกซิไดซ์แอลกอฮอล์ปฐมภูมิเบื้องต้นจะได้สารประเภทใด?,คีโตน,แอลดีไฮด์,อีเทอร์,แอลเคน,2,การออกซิไดซ์แอลกอฮอล์ปฐมภูมิได้แอลดีไฮด์ก่อน แล้วอาจออกซิไดซ์ต่อเป็นกรดคาร์บอกซิลิก
c5b12,การออกซิไดซ์แอลกอฮอล์ทุติยภูมิได้สารประเภทใด?,แอลดีไฮด์,กรดคาร์บอกซิลิก,อีเทอร์,คีโตน,4,การออกซิไดซ์แอลกอฮอล์ทุติยภูมิได้คีโตน
c5b12,สารใดมีหมู่ฟังก์ชันคาร์บอนิล (C=O) ทั้งคู่?,แอลกอฮอล์และอีเทอร์,แอลดีไฮด์และคีโตน,แอลเคนและแอลคีน,เอมีนและแอลคิล,2,ทั้งแอลดีไฮด์และคีโตนมีหมู่คาร์บอนิล C=O ต่างกันที่ตำแหน่งในสายโซ่
c5b12,กรดคาร์บอกซิลิกมีสมบัติความเป็นกรดเพราะเหตุใด?,ให้ไฮโดรเจนไอออน (H+) จากหมู่ -COOH ได้,รับอิเล็กตรอน,เป็นโลหะ,ไม่มีออกซิเจน,1,หมู่ -COOH สามารถปล่อย H+ ออกมาได้ กรดคาร์บอกซิลิกจึงมีสมบัติเป็นกรด
c5b12,พอลิเมอร์ธรรมชาติชนิดใดเป็นสารประกอบอินทรีย์ที่เกิดจากกรดอะมิโน?,แป้ง,โปรตีน,เซลลูโลส,ไกลโคเจน,2,โปรตีนเป็นสารอินทรีย์พอลิเมอร์ที่เกิดจากกรดอะมิโนเชื่อมด้วยพันธะเพปไทด์
c5b12,เหตุใดสารประกอบอินทรีย์ส่วนใหญ่จึงติดไฟได้?,มีคาร์บอนและไฮโดรเจนที่ทำปฏิกิริยากับออกซิเจนคายพลังงาน,เป็นโลหะ,เป็นไอออน,มีน้ำมาก,1,สารอินทรีย์มีคาร์บอนและไฮโดรเจนซึ่งเผาไหม้กับออกซิเจนได้ CO2 และน้ำ พร้อมคายพลังงาน
c5b12,ไอโซเมอร์เรขาคณิตแบบซิส-ทรานส์เกิดขึ้นได้เพราะเหตุใด?,พันธะเดี่ยวหมุนอิสระ,พันธะคู่หมุนไม่ได้ ทำให้หมู่อยู่คนละด้านหรือด้านเดียวกัน,มีหมู่ -OH,เป็นไอออน,2,เพราะพันธะคู่หมุนไม่ได้ หมู่ที่เกาะอยู่จึงคงตำแหน่งเป็นแบบซิส (ด้านเดียวกัน) หรือทรานส์ (คนละด้าน)
c5b12,สารใดเป็นไฮโดรคาร์บอนอิ่มตัว?,อีทีน,อีไทน์,โพรเพน,เบนซีน,3,โพรเพน (C3H8) เป็นแอลเคนที่มีเฉพาะพันธะเดี่ยว จึงเป็นไฮโดรคาร์บอนอิ่มตัว
c5b12,การเรียกชื่อแอลกอฮอล์ตามระบบ IUPAC ใช้คำลงท้ายว่าอะไร?,-เอน,-ออล,-อิก,-อัล,2,"แอลกอฮอล์ใช้คำลงท้าย -ออล เช่น เมทานอล เอทานอล (methanol, ethanol)"
c5b12,เมื่อจำนวนคาร์บอนเพิ่มขึ้น ความสามารถในการละลายน้ำของแอลกอฮอล์เป็นอย่างไร?,เพิ่มขึ้นเรื่อย ๆ,ลดลงเพราะส่วนไฮโดรคาร์บอนที่ไม่มีขั้วเพิ่มขึ้น,คงที่,กลายเป็นไอออน,2,เมื่อสายไฮโดรคาร์บอนที่ไม่มีขั้วยาวขึ้น ความสามารถละลายน้ำของแอลกอฮอล์จะลดลง
c5b12,ปิโตรเลียมเป็นแหล่งของสารอินทรีย์ประเภทใดเป็นหลัก?,แอลกอฮอล์,ไฮโดรคาร์บอน,กรดคาร์บอกซิลิก,เอมีน,2,ปิโตรเลียมประกอบด้วยสารไฮโดรคาร์บอนหลายชนิด แยกได้ด้วยการกลั่นลำดับส่วน
c5b12,หมู่ฟังก์ชันใดทำให้สารมีสมบัติเป็นเบสอย่างอ่อน?,-OH,-COOH,-NH2 (เอมิโน),-CHO,3,หมู่เอมิโน -NH2 ของเอมีนมีคู่อิเล็กตรอนโดดเดี่ยวรับ H+ ได้ จึงมีสมบัติเป็นเบสอย่างอ่อน
c5b12,ปฏิกิริยาเอสเทอริฟิเคชันโดยทั่วไปต้องใช้ตัวเร่งปฏิกิริยาชนิดใด?,เบสแก่,กรดเข้มข้น เช่น กรดซัลฟิวริก,น้ำเปล่า,เกลือแกง,2,เอสเทอริฟิเคชันระหว่างกรดคาร์บอกซิลิกกับแอลกอฮอล์มักใช้กรดเข้มข้น เช่น H2SO4 เป็นตัวเร่งปฏิกิริยา
c5b12,การไฮโดรลิซิสของเอสเทอร์ในภาวะกรดให้ผลิตภัณฑ์เป็นสารคู่ใด?,กรดคาร์บอกซิลิกกับแอลกอฮอล์,แอลเคนกับน้ำ,คีโตนกับกรด,เอมีนกับน้ำ,1,การไฮโดรลิซิสเอสเทอร์เป็นปฏิกิริยาย้อนกลับของเอสเทอริฟิเคชัน ได้กรดคาร์บอกซิลิกกับแอลกอฮอล์
c5b12,ปฏิกิริยาสะปอนิฟิเคชันคือการทำปฏิกิริยาระหว่างสารใดกับเบส?,แอลเคนกับเบส,ไขมันหรือน้ำมันกับเบส (เกิดสบู่),แอลกอฮอล์กับเบส,คีโตนกับเบส,2,สะปอนิฟิเคชันคือการไฮโดรลิซิสไขมันหรือน้ำมันด้วยเบส ได้สบู่ (เกลือของกรดไขมัน) และกลีเซอรอล
c5b12,สบู่เกิดจากปฏิกิริยาของไขมันกับสารใด?,กรดเข้มข้น,เบสแก่ เช่น โซเดียมไฮดรอกไซด์,น้ำกลั่น,แก๊สออกซิเจน,2,สบู่คือเกลือโซเดียมหรือโพแทสเซียมของกรดไขมัน เกิดจากการต้มไขมันกับเบสแก่ เช่น NaOH
c5b12,โมเลกุลสบู่ทำความสะอาดคราบไขมันได้เพราะมีโครงสร้างแบบใด?,มีส่วนหัวมีขั้วชอบน้ำและส่วนหางไม่มีขั้วชอบไขมัน,ไม่มีขั้วทั้งโมเลกุล,มีขั้วทั้งโมเลกุล,เป็นไอออนบวกล้วน,1,สบู่มีส่วนหัวมีขั้ว (ชอบน้ำ) และส่วนหางไฮโดรคาร์บอนไม่มีขั้ว (ชอบไขมัน) จึงดึงคราบไขมันออกมากระจายในน้ำได้
c5b12,การทดสอบหมู่ฟังก์ชันแอลดีไฮด์นิยมใช้สารละลายใดที่ให้ตะกอนสีแดงอิฐ?,สารละลายเบเนดิกต์ (Benedict),สารละลายโบรมีน,กรดไฮโดรคลอริก,น้ำกลั่น,1,แอลดีไฮด์ทำปฏิกิริยากับสารละลายเบเนดิกต์ให้ตะกอนคอปเปอร์ออกไซด์สีแดงอิฐ ใช้แยกจากคีโตน
c5b12,การทดสอบความไม่อิ่มตัวด้วยสารละลายโพแทสเซียมเปอร์แมงกาเนต (สีม่วง) จะสังเกตผลใด?,สีม่วงเข้มขึ้น,ไม่เปลี่ยนสี,สีม่วงจางหายไป,เกิดแก๊ส,3,แอลคีนและแอลไคน์ฟอกจางสีม่วงของโพแทสเซียมเปอร์แมงกาเนต แสดงว่ามีพันธะไม่อิ่มตัว
c5b12,พันธะที่เชื่อมหน่วยน้ำตาลในคาร์โบไฮเดรต เช่น แป้งและเซลลูโลส เรียกว่าพันธะใด?,พันธะเพปไทด์,พันธะเอสเทอร์,พันธะไกลโคซิดิก,พันธะไฮโดรเจน,3,หน่วยน้ำตาล (มอนอแซ็กคาไรด์) เชื่อมกันด้วยพันธะไกลโคซิดิกเกิดเป็นไดแซ็กคาไรด์และพอลิแซ็กคาไรด์
c5b12,พันธะที่เชื่อมกรดอะมิโนในโปรตีนเรียกว่าพันธะใด และเกิดระหว่างหมู่ใด?,พันธะเพปไทด์ ระหว่างหมู่คาร์บอกซิลกับหมู่อะมิโน,พันธะไกลโคซิดิก ระหว่างหมู่ -OH,พันธะเอสเทอร์ ระหว่างกรดกับแอลกอฮอล์,พันธะไอออนิก,1,พันธะเพปไทด์เกิดจากหมู่คาร์บอกซิล (-COOH) ของกรดอะมิโนหนึ่งทำปฏิกิริยากับหมู่อะมิโน (-NH2) ของอีกตัว โดยมีน้ำหลุดออก
c5b12,ไขมันอิ่มตัวต่างจากไขมันไม่อิ่มตัวตรงโครงสร้างใด?,ไขมันอิ่มตัวมีพันธะคู่มาก,ไขมันอิ่มตัวมีเฉพาะพันธะเดี่ยวในสายกรดไขมัน ส่วนไม่อิ่มตัวมีพันธะคู่,ไขมันไม่อิ่มตัวไม่มีคาร์บอน,ทั้งสองไม่มีพันธะ,2,ไขมันอิ่มตัวมีกรดไขมันที่มีเฉพาะพันธะเดี่ยว ส่วนไขมันไม่อิ่มตัวมีพันธะคู่ C=C ในสายกรดไขมัน
c5b12,เหตุใดไขมันอิ่มตัวจึงมักเป็นของแข็งที่อุณหภูมิห้อง ส่วนน้ำมันไม่อิ่มตัวเป็นของเหลว?,ไขมันอิ่มตัวสายตรงเรียงชิดกันแน่นมีจุดหลอมเหลวสูงกว่า,น้ำมันไม่มีคาร์บอน,ไขมันอิ่มตัวมีพันธะคู่มาก,ไม่มีความต่างกัน,1,สายกรดไขมันอิ่มตัวตรงเรียงชิดกันแน่น แรงระหว่างโมเลกุลมาก จุดหลอมเหลวสูง ส่วนพันธะคู่ในไขมันไม่อิ่มตัวทำให้สายงอเรียงไม่ชิด จุดหลอมเหลวต่ำกว่า
c5b12,ออปทิคัลไอโซเมอร์ (enantiomer) เกิดขึ้นเมื่อโมเลกุลมีลักษณะใด?,มีพันธะคู่,มีคาร์บอนที่เกาะกับหมู่ต่างกันสี่หมู่ (ไครัล),มีวงเบนซีน,ไม่มีคาร์บอน,2,ออปทิคัลไอโซเมอร์เกิดเมื่อมีคาร์บอนไครัลที่เกาะกับหมู่ต่างกันสี่หมู่ ทำให้โมเลกุลกับภาพในกระจกซ้อนทับกันไม่ได้
c5b12,ออปทิคัลไอโซเมอร์คู่หนึ่งมีความสัมพันธ์กันอย่างไร?,เป็นภาพในกระจกของกันและกันที่ซ้อนทับกันไม่ได้,เหมือนกันทุกประการ,มีสูตรโมเลกุลต่างกัน,เป็นสารคนละชนิดที่ไม่เกี่ยวกัน,1,ออปทิคัลไอโซเมอร์เป็นภาพในกระจกของกันและกันที่ซ้อนทับกันไม่ได้ คล้ายมือซ้ายกับมือขวา
c5b12,แอลเคนเกิดปฏิกิริยาแทนที่กับคลอรีนได้เมื่อมีปัจจัยใด?,ความเย็นจัด,แสงสว่างหรือความร้อน,ในที่มืด,ในน้ำ,2,แอลเคนเกิดปฏิกิริยาแทนที่กับฮาโลเจน เช่น คลอรีน เมื่อมีแสงหรือความร้อนช่วยเริ่มปฏิกิริยา
c5b12,ความแตกต่างหลักของปฏิกิริยาที่เกิดกับแอลเคนและแอลคีนคือข้อใด?,แอลเคนเกิดปฏิกิริยาเติม แอลคีนเกิดปฏิกิริยาแทนที่,แอลเคนเกิดปฏิกิริยาแทนที่ ส่วนแอลคีนเกิดปฏิกิริยาเติมที่พันธะคู่,ทั้งสองเกิดปฏิกิริยาเหมือนกัน,ทั้งสองไม่เกิดปฏิกิริยา,2,แอลเคนอิ่มตัวเกิดปฏิกิริยาแทนที่ ส่วนแอลคีนมีพันธะคู่จึงเกิดปฏิกิริยาเติมได้ง่าย
c5b12,แอลไคน์ทำปฏิกิริยาเติมกับไฮโดรเจนสองโมเลกุลได้เพราะเหตุใด?,มีพันธะสามที่รับการเติมได้สองครั้ง,มีพันธะเดี่ยว,ไม่มีพันธะ,เป็นไอออน,1,พันธะสามของแอลไคน์รับไฮโดรเจนเติมได้สองครั้ง กลายเป็นแอลคีนแล้วเป็นแอลเคนตามลำดับ
c5b12,เลขออกซิเดชันของคาร์บอนในแก๊สมีเทน (CH4) มีค่าเท่าใด?,+4,0,-4,+2,3,ในมีเทน ไฮโดรเจนมีเลขออกซิเดชัน +1 รวมสี่ตัวเป็น +4 คาร์บอนจึงเป็น -4 เพื่อให้รวมเป็นศูนย์
c5b12,เลขออกซิเดชันของคาร์บอนในคาร์บอนไดออกไซด์ (CO2) มีค่าเท่าใด?,-4,0,+2,+4,4,ออกซิเจนมีเลขออกซิเดชัน -2 สองตัวเป็น -4 คาร์บอนจึงเป็น +4 เพื่อให้ผลรวมเป็นศูนย์
c5b12,เมื่อแอลกอฮอล์ถูกออกซิไดซ์ไปเป็นกรดคาร์บอกซิลิก เลขออกซิเดชันของคาร์บอนที่เกี่ยวข้องเปลี่ยนแปลงอย่างไร?,ลดลง,เพิ่มขึ้น,ไม่เปลี่ยน,เป็นศูนย์เสมอ,2,การออกซิเดชันทำให้คาร์บอนเสียอิเล็กตรอน เลขออกซิเดชันจึงเพิ่มขึ้นจากแอลกอฮอล์ไปสู่แอลดีไฮด์และกรด
c5b12,การทดสอบกรดคาร์บอกซิลิกด้วยโซเดียมไฮโดรเจนคาร์บอเนต (NaHCO3) จะสังเกตผลใด?,ไม่เกิดอะไร,เกิดฟองแก๊สคาร์บอนไดออกไซด์,เกิดตะกอนสีดำ,เปลี่ยนเป็นสีม่วง,2,กรดคาร์บอกซิลิกทำปฏิกิริยากับ NaHCO3 ให้แก๊สคาร์บอนไดออกไซด์เป็นฟอง ใช้ยืนยันความเป็นกรด
c5b12,น้ำมันพืชสามารถเปลี่ยนเป็นไขมันแข็ง (เนยเทียม) ได้ด้วยกระบวนการใด?,การเติมไฮโดรเจนที่พันธะคู่ (ไฮโดรจิเนชัน),การไฮโดรลิซิส,การเผาไหม้,การกลั่น,1,การเติมไฮโดรเจน (ไฮโดรจิเนชัน) ที่พันธะคู่ของน้ำมันไม่อิ่มตัวทำให้สายตรงขึ้น เรียงชิด กลายเป็นไขมันแข็ง
c5b12,กลีเซอรอลที่ได้จากการไฮโดรลิซิสไขมันจัดเป็นสารประเภทใด?,กรดคาร์บอกซิลิก,แอลกอฮอล์ที่มีหมู่ -OH สามหมู่,คีโตน,เอมีน,2,กลีเซอรอลเป็นแอลกอฮอล์ที่มีหมู่ไฮดรอกซิล -OH สามหมู่ (ไตรออล)
c5b12,สารใดให้ผลทดสอบไอโอดีนเป็นสีน้ำเงินเข้ม ใช้ตรวจสอบแป้ง?,น้ำตาลกลูโคส,แป้ง (สตาร์ช),โปรตีน,ไขมัน,2,แป้งทำปฏิกิริยากับสารละลายไอโอดีนให้สีน้ำเงินเข้ม ใช้เป็นการทดสอบแป้งโดยเฉพาะ
c5b12,การทดสอบโปรตีนด้วยปฏิกิริยาไบยูเรต (Biuret) จะให้สีใด?,สีม่วง,สีเขียว,สีแดงอิฐ,ไม่มีสี,1,โปรตีนที่มีพันธะเพปไทด์ทำปฏิกิริยาไบยูเรตให้สารละลายสีม่วง ใช้ตรวจสอบโปรตีน
c5b12,เหตุใดกรดไขมันไม่อิ่มตัวจึงสามารถฟอกจางสีสารละลายโบรมีนได้?,มีพันธะคู่ C=C ที่เกิดปฏิกิริยาเติมกับโบรมีน,มีหมู่ -OH,เป็นไอออน,ไม่มีคาร์บอน,1,พันธะคู่ในกรดไขมันไม่อิ่มตัวเกิดปฏิกิริยาเติมกับโบรมีน จึงฟอกจางสีของสารละลายโบรมีนได้
